DATE,DISTRICT,STATE,TOTAL_CASES,TODAYS_CASES,ACTIVE_CASES,RECOVERED_CASES,DECRESED_CASES
3/19/2020,RAIPUR,CHHATTISGARH,1,1,1,0,0
3/20/2020,RAIPUR,CHHATTISGARH,1,0,1,0,0
3/21/2020,RAIPUR,CHHATTISGARH,1,0,1,0,0
3/22/2020,RAIPUR,CHHATTISGARH,1,0,1,0,0
3/23/2020,RAIPUR,CHHATTISGARH,1,0,1,0,0
3/24/2020,RAIPUR,CHHATTISGARH,1,0,1,0,0
3/25/2020,RAIPUR,CHHATTISGARH,1,0,1,0,0
3/26/2020,RAIPUR,CHHATTISGARH,2,1,2,0,0
3/27/2020,RAIPUR,CHHATTISGARH,2,0,2,0,0
3/28/2020,RAIPUR,CHHATTISGARH,3,1,3,0,0
3/29/2020,RAIPUR,CHHATTISGARH,3,0,3,0,0
3/30/2020,RAIPUR,CHHATTISGARH,3,0,3,0,0
3/31/2020,RAIPUR,CHHATTISGARH,4,1,4,0,0
04-01-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-02-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-03-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-04-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-05-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-06-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-07-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-08-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-09-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-10-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-11-2020,RAIPUR,CHHATTISGARH,4,0,4,0,0
04-12-2020,RAIPUR,CHHATTISGARH,4,2,6,0,0
4/13/2020,RAIPUR,CHHATTISGARH,4,0,6,0,0
4/14/2020,RAIPUR,CHHATTISGARH,4,0,6,0,0
4/15/2020,RAIPUR,CHHATTISGARH,4,0,6,0,0
4/16/2020,RAIPUR,CHHATTISGARH,4,0,6,0,0
4/17/2020,RAIPUR,CHHATTISGARH,4,1,7,0,0
4/18/2020,RAIPUR,CHHATTISGARH,4,0,7,0,0
4/19/2020,RAIPUR,CHHATTISGARH,4,0,7,0,0
4/20/2020,RAIPUR,CHHATTISGARH,4,0,7,0,0
4/21/2020,RAIPUR,CHHATTISGARH,4,3,10,0,0
4/22/2020,RAIPUR,CHHATTISGARH,4,0,10,0,0
4/23/2020,RAIPUR,CHHATTISGARH,4,0,10,0,0
4/24/2020,RAIPUR,CHHATTISGARH,4,0,10,0,0
4/25/2020,RAIPUR,CHHATTISGARH,5,1,11,0,0
4/26/2020,RAIPUR,CHHATTISGARH,5,6,12,5,0
4/27/2020,RAIPUR,CHHATTISGARH,11,6,13,5,0
4/28/2020,RAIPUR,CHHATTISGARH,17,6,14,5,0
4/29/2020,RAIPUR,CHHATTISGARH,23,6,15,5,0
4/30/2020,RAIPUR,CHHATTISGARH,29,6,16,5,0
